,Params,Score
66,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 1000}",-4023462450.957292
67,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 1, 'nb_epoch': 10000}",-3518254426.8047066
68,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 10}",-56195369517.01488
69,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 100}",-47495446769.17856
70,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 1000}",-44446808970.08505
71,"{'batch_size': -1, 'hidden_layers_sizes': [32, 16], 'learning_rate': 10, 'nb_epoch': 10000}",-25950233511.957973
72,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 10}",-55518034332.55449
73,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 100}",-8517438074.678619
74,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4463219156.37221
75,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3213051250.376133
76,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 10}",-11219923691.543684
77,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 100}",-5198806054.504013
78,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 1000}",-3960931898.895079
79,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 1, 'nb_epoch': 10000}",-2980774647.1071563
80,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 10}",-56219614738.36066
81,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 100}",-55954825216.46072
82,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 1000}",-52490929536.28333
83,"{'batch_size': -1, 'hidden_layers_sizes': [64, 32], 'learning_rate': 10, 'nb_epoch': 10000}",-23583236770.699417
